id,name,rarity,alter_ego,card_type,alignment,faction,energy,shield,agility,ranged_attack,energy_attack,elasticity,genius,blades,magic,regeneration,super_strength,telekinesis,telepathy,flying,text,hability_cost,hability_name,hability_text,hability_type
1001,Agente S.H.I.E.L.D,c,n/a,p,heroi,S.H.I.E.L.D,1,0,0,1,0,0,0,0,0,0,0,0,0,0,"Pode haver qualquer número de personagens chamados AGENTE S.H.I.E.L.D.
",1,ATAQUE ARMADO,"
ATAQUE ARMADO causa 1 ponto de dano no alvo.",
1002,Capanga do Rei,c,n/a,p,vilão,Inimigos do Demolidor,1,0,0,1,0,0,0,0,0,0,0,0,0,0,CAPANGA DO REI ganha Escudo +1 para cada cards de habilidades de (ranged_attack) que ele estiver carregando. Pode haver qualquer número de personagens chamados CAPANGA DO REI em cena.,1,FOGO CERRADO,"
FOGO CERRADO causa 1 ponto de dano no alvo.",
1003,Capitão America,sr,Steve Rogers,p,heroi,Vingadores,4,0,1,1,0,0,0,0,0,0,0,0,0,0,"Durante sua fase de Preparação, uma vez por turno, você pode capacitar em (1) um dos personagens dos Vingadores que você controla.",0,RECUPERAR ESCUDO,"Procure por um card chamado ESCUDO DO CAPITÃO AMÉRICA em sua mão, deck, cena ou
recurso, revele-o e então carregue-o em CAPITÃO AMÉRICA. A seguir; embaralhe seu deck caso 
tenha procurado alí, e descarregue cards de CAPITÃO AMÉRICA até que ele esteja carregando um 
número de cards menor ou igual à sua Energia.",a
1004,Ciclope,i,Scott Summers,p,heroi,X-Men,4,0,0,0,1,0,0,0,0,0,0,0,0,0,Cada um dos personagens X-Men que você controla ganha Escudo +1.,1,RAJADA ÓTICA,RAJADA ÓTICA causa 1 ponto de dano no alvo.,
1005,Coisa,i,Benjamin Jacob Grimm,p,heroi,Quarteto Fantástico,6,3,0,0,0,0,0,0,0,0,1,0,0,0,,1,TÁ NA HORA DO PAU,TÁ NA HORA DO PAU causa 3 pontos de dano no alvo.,
1006,Colossus,i,"Piotr ""Peter"" Nikolaevitch Rasputin",p,heroi,X-Men,5,3,0,0,0,0,0,0,0,0,1,0,0,0,,1,MURRO METÁLICO,MURRO METÁLICO causa 3 pontos de dano no alvo.,
1007,Demolidor,c,"Matthew Michael ""Matt"" Murdock",p,heroi,Aliados do Demolidor,4,1,1,1,0,0,0,0,0,0,0,0,0,0,,0,RADAR,O dano que DEMOLIDOR receberia da primeira ação que tenha ele como alvo neste turno é reduzido a zero.,a
1008,Dentes-de-Sabre,i,Victor Creed,p,vilão,Irmandade de Mutantes,4,1,1,0,0,0,0,1,0,1,0,0,0,0,,1,DILACERAR,DILACERAR causa 2 pontos de dano no alvo.,
1009,Dr. Destino,ur,Victor von Doom,p,vilão,Inimigos do Quarteto Fantástico,6,3,0,0,1,0,1,0,0,0,1,0,0,1,,0,PLANO MALIGNO,"Olhe os trés cards do topo do seu deck, revele e carregue um deles em DR. DESTINO, então descarregue um dos cards que DR. DESTINO estiver carregando. Coloque os outros dois cards no topo de seu deck em qualquer ordem.",
1010,Dr. Octopus,r,Dr. Otto Octavius,p,vilão,Inimigos do Homem-Aranha,5,1,0,0,0,1,1,0,0,0,1,0,0,0,,X,ESPREMER,"ESPREMER causa X+1 pontos de dano no alvo, Incapacite em (1) o alvo caso X seja igual a 2.",
1011,Duende Verde,c,Norman Virgil Osborn,p,vilão,Inimigos do Homem-Aranha,4,1,0,1,0,0,0,0,0,0,0,0,0,1,"Sempre que DUENDE VERDE fosse causar dano em personagens Aliado do Homem-aranha, ele causará aquela quantidade de dano +1.",1,BOMBA-ABÓBORA,"BOMBA-ABÓBORA causa 2 pontos de dano no alvo ou BOMBA-ABÓBORA causa 1 ponto de dano no alvo, caso o alvo tenha (flying).",
1012,Elektra,i,Elektra Natchog,p,vilão,Inimigos do Demolidor,3,1,1,1,0,0,0,1,0,0,0,0,0,0,,2,GOLPES NINJA,GOLPES NINJA causa 1 ponto de dano no alvo. Incapacite em (1) o alvo.,
1013,Emma Frost,c,Emma Grace Frost,p,heroi,X-Men,4,1,0,0,0,0,0,0,0,0,0,0,1,0,,1,CONFUNDIR,"Escolha um personagens que você não controla como alvo de CONFUNDIR. Descarregue todos os cards que o alvo estiver carregando, e então carregue o alvo com aquela mesma quantidade de cards.",
1014,Fanático,c,Cain Marko,p,vilão,Irmandade de Mutantes,6,4,0,0,0,0,0,0,0,0,1,0,0,0,FANÁTICO não pode ser alvo de ações de (telepathy).,2,PANCADA,PANCADA causa 4 pontos de dano no alvo.,
1015,Fênix,i,Jean Grey-Summers,p,heroi,X-Men,4,1,0,0,0,0,0,0,0,0,0,1,1,1,,2,ARREMESSO MENTAL,Devolva o alvo de ARREMESSO MENTAL para a mão de seu dono. Descarregue os cards que o alvo estiver carregando.,
1016,Fera,i,"Dr. Henry Philip ""Hank"" McCoy",p,heroi,X-Men,4,1,1,0,0,0,1,0,0,0,0,0,0,0,,1,VOADORA,VOADORA causa 2 pontos de ano no alvo.,
1017,Gavião Arqueiro,c,"Clinton ""Clint"" Francis Barton",p,heroi,S.H.I.E.L.D./Vingadores,3,1,0,1,0,0,0,0,0,0,0,0,0,0,,1,FLECHAS ESPECIAIS,"FLECHAS ESPECIAIS causa 1 ponto de dano penetrante no alvo, ou FLECHAS ESPECIAIS causa 2 pontos de dano no alvo.",
1018,Homem de Ferro,sr,"Anthony Edward ""Tony"" Stark",p,heroi,Vingadores,4,2,0,0,1,0,1,0,0,0,1,0,0,1,,1,RAIO REPULSOR,RAIO REPULSOR causa 1 ponto de dano penetrante no alvo.,
1019,Homem-Aranha,c,Peter Benjamin Parker,p,heroi,Aliados do Homem-Aranha,4,1,1,0,0,1,0,0,0,0,0,0,0,0,,1,TEIA DO ARANHA,O alvo de TEIA DO ARANHA ganha -1 Escudo até o final do turno. TEIA DO ARANHA causa 1 ponto de dano no alvo.,
1020,Hulk,r,Robert Bruce Banner,p,heroi,Vingadores,8,3,0,0,0,0,0,0,0,1,1,0,0,0,"Enquanto HULK estiver com Energia 1, ele ganha Escudo 0 e perde todos os seus poderes.",1,HULK ESMAGA,HULK ESMAGA causa 4 pontos de dano no alvo.,
1021,Magneto,r,Erik Magnus Lehnsherr,p,vilão,Irmandade de Mutantes,6,1,0,0,0,0,1,0,0,0,0,1,0,1," MAGNETO não pode ser alvo de ações de (telepathy)
 

Sempre que um integrante de Irmandade de Mutantes que você controla fosse causar dano a um X-Men, ele causará aquela quantidade de dano +1.",1,FORÇA MAGNÉTICA,"Incapacite em (1) ou (2) o alvo de FORÇA MAGNÉTICA ou devolve o alvo de FORÇA MAGNÉTICA para a mão de seu dono e descarregue os cards que ele estiver carregando, caso o alvo tenha (blades) ou seja um suporte.",
1022,Mercenário,c,Lester,p,vilão,Inimigos do Demolidor,3,1,1,1,0,0,0,0,0,0,0,0,0,0,,1,NA MOSCA,NA MOSCA causa 1 ponto de dano no alvo. Escolha um dos cards de habilidade que o alvo estiver carregando. O alvo não pode usar nenhuma das ações do card escolhido neste turno.,a
1023,Mística,r,Raven Darkholme,p,vilão,Irmandade de Mutantes,3,1,1,1,0,0,0,0,0,0,0,0,0,0,,1,LUDIBRIAR,"Descarregue todos os cards que MISTICA estiver carregando. Escolha um card dos prêmios de um oponente e coloque-o em sua mão, e então coloque MISTICA nos prêmios de seu oponente.",
1024,Mulher Invisível,i,"Susan ""Sue"" Storm Richards",p,heroi,Quarteto Fantástico,3,*,0,0,0,0,0,0,0,0,0,1,0,1,"O valor de Escudo de MULHER INVISÍVEL é igual ao número de cards que ela estiver carregando.
 
Cada um dos outros personagens do Quarteto Fantástico que você controla ganha Escudo +1.",0,ESCUDO INVISÍVEL,O alvo de ESCUDO INVISÍVEL ganha Escudo +1 até o final do turno.,a
1025,Nick Fury,r,"Nicholas Joseph ""Nick"" Fury",p,heroi,S.H.I.E.L.D.,3,0,0,1,0,0,0,0,0,0,0,0,0,0,"Quando NICK FURY entrar em cena, procure por até três cards chamados AGENTE S.H.I.E.L.D. Em seu deck ou recursos. Revele-os e então coloque-os em sua mão. A seguir, embaralhe seu deck, caso tenha procurado alí.
 
Cada um dos personagens e suportes S.H.I.E.L.D. que você controla ganha Escudo +1.",,,,
1026,Professor X,r,Charles Francis Xavier,p,heroi,X-Men,3,0,0,0,0,0,1,0,0,0,0,0,1,0,"Durante sua Fase de Preparação, uma vez por turno, você poderá colocar um card de seus recursos na base de seu deck. Se o fizer, coloque o card do topo do seu deck em seus recursos.",1,CONTROLAR A MENTE,CONTROLAR A MENTE incapacita em (1) o alvo. O alvo ganha Escudo -1 até o final do turno.,
1027,Rei do Crime,sr,Wilson Fisk,p,vilão,Inimigos do Demolidor,4,0,0,1,0,0,1,0,0,0,0,0,0,0,"Quando REI DO CRIME entrar em cena, procure por até três cards chamdos CAPANGA DO REI em seu deck ou recursos, revele-os e então coloque-os em sua mão. A seguir, embaralhe o deck, caso tenha procurado alí.
 
Enquanto você controlar um CAPANGA DO REI, REI DO CRIME não poderá ser alvo de ações.",,,,
1028,Sr. Fantástico,sr,Reed Richards,p,heroi,Quarteto Fantástico,3,1,0,0,0,1,1,0,0,0,0,0,0,0,"Durante sua Fase de Preparação, uma vez por turno, você pode capacitar em (1) um dos personagens do Quarteto Fantástico que você controla.",1,ESTICAR,Descarregue um dos cards que o alvo de ESTICAR estiver carregando e então carregue o alvo com um card à sua escolha.,
1029,Surfista Prateado,c,Norrin Radd,p,heroi,Quarteto Fantástico,5,1,0,0,1,0,0,0,0,0,0,0,0,1,,1,ARREMETER,ARREMETER causa 2 pontos de dano no alvo.,
1030,Tempestade,c,Ororo Munroe,p,heroi,X-Men,3,1,0,0,1,0,0,0,0,0,0,0,0,1,,2,CHOQUE ELÉTRICO,"CHOQUE ELÉTRICO causa 1 ponto de dano penetrante no alvo, Incapacite em (1) o alvo.",
1031,Thor,r,Thor Conson,p,heroi,Vingadores,6,2,0,0,0,0,0,0,0,0,1,0,0,0,,0,RECUPERAR MARTELO,"Procure por um card chamado MJOLNIR em sua mão, deck, cena ou recurso, revele-o e então carregue-o em THOR. A seguir, embaralhe seu deck caso tenha procurado alí, e descarregue cards de THOR até que ele esteja carregando um número de cards menor ou igual a sua Energia.",a
1032,Tocha Humana,ur,Jonathan Lowell Spencer Storm,p,heroi,Quarteto Fantástico,4,1,0,0,1,0,0,0,0,0,0,0,0,1,,2,SUPERNOVA,Descarregue um card que TOCHA HUMANA estiver carregando. SUPERNOVA causa 3 pontos de dano a cada um dos outros personagens e suportes que não sejam do Quarteto Fantástico.,
1033,Vampira,r,Anna Marie Raven,p,heroi,X-Men,5,0,0,0,0,0,0,0,0,0,0,0,0,0,,,VAMPIRA tem todos os poderes dos outros personagens que você controla.,VAMPIRA ganha Escudo +1 para cada um dos outros personagens que você controla.,
1034,Venom,i,Eddie Brock,p,vilão,Inimigos do Homem-Aranha,5,1,1,0,0,1,0,0,0,0,0,0,0,0,,X,TIRO DE TEIA,TIRO DE TEIA causa 2 pontos de dano a cada um de X alvos. Incapacite em (1) X-1 destes alvos.,
1035,Viúva Negra,c,Natalia Alianovna Romanova,p,heroi,S.H.I.E.L.D./Vingadores,3,1,1,1,0,0,0,0,0,0,0,0,0,0,,2,ATAQUE-SURPRESA,ATAQUE-SURPRESA causa 1 ponto de dano penetrante no alvo.,
1036,Wolverine,ur,"James ""Logan"" Howlett",p,heroi,X-Men,4,1,1,0,0,0,0,1,0,1,0,0,0,0,,X,GARRAS,GARRAS causa X pontos de dano penetrante no alvo.,a
1037,Esconderijo Secreto,i,,s,n/a,N/A,4,2,0,0,0,0,0,0,0,0,0,0,0,0,"Quando ESCONDERIJO SECRETO entrar em cena, escolha um vilão que você controla.

Enquanto ESCONDERIJO SECRETO e o vilão escolhido estiverem em cena, o vilão escolhido não poderá ser alvo de ações.

Se o vilão escolhido sair de cena, descarregue ESCONDERIJO SECRETO e coloque-o em seus recursos.",,,,
1038,Fantasticarro,sr,,s,n/a,Quarteto Fantástico,3,1,0,0,0,0,0,0,0,0,0,0,0,0,"Cada um dos personagens do Quarteto Fantástico que você controla ganha (flying) e Escudo +1.
 
Quando FANTASTICARRO entrar em cena, você pode procurar em seu deck por um card de personagens do Quarteto Fantástico, revelá-lo, colocá-lo-o em sua mão e então embaralhar o seu deck.",,,,
1039,Mansão dos Vingadores,r,,s,n/a,Vingadores,6,2,0,0,0,0,0,0,0,0,0,0,0,0,"Cada um dos personagens Vingadores que você controla ganha (genius) e Escudo +1.
 
Durante sua Fase de Preparação, uma vez por turno, você pode capacitar em (1) um dos personagens Vingadores que você controla.",,,,
1040,Máquina Diabólica,i,,s,n/a,N/A,7,1,0,0,0,0,0,0,0,0,0,0,0,0,"MÁQUINA DIABÓLICA só pode ser colocada em cena se você controlar um vilão.

Enquanto você controlar MÁQUINA DIABÓLICA, seus oponentes executam a etapa de Contagem Regressiva como se não tivessem nenhum personagem em cena.",,,,
1041,Pássaro Negro,sr,,s,n/a,X-Men,6,2,0,0,0,0,0,0,0,0,0,0,0,0,"Cada um dos personagens X-Men que você controla ganha (energy_attack), (genius), (flying) e Escudo +2.
 
Quando PÁSSARO NEGRO for destruido, ele causa 2 pontos de dano a cada um dos personagens X-Men que você controla.",,,,
1042,Veículo de Combate S.H.I.E.L.D.,r,,s,n/a,S.H.I.E.L.D.,3,1,0,0,0,0,0,0,0,0,0,0,0,0,"Durante o combate, uma vez por turno, você pode escolher um dos personagens S.H.I.E.L.D. com (ranged_attack) que você controla. Aquele personagens pode usar a ação de MORTEIRO deste suporte durante aquele turno.
 
Pode haver qualquer número de suportes chamados VEÍCULO DE COMBATE S.H.I.E.L.D. em cena.
 
Cada personagens S.H.I.E.L.D. que você controla ganha Escudo +1.",,,,
1043,"Avante, Vingadores!",ur,,c,,,,,,,,,,,,,,,,,"Enquanto você controlar o CAPITÃO AMÉRICA, cada um dos personagens Vingadores que você controla pode usar ações de qualquer um dos cards de habilidades que ele estiver carregando.",,,,
1044,Batalha em Área Povoada,i,,c,,,,,,,,,,,,,,,,,"Quando BATALHA EM ÁREA POVOADA entrar em cena, compre um card.

Sempre que um herói fosse causar dano, ele causará aquela quantidade de dano -1.",,,,
